layer,row,column,Reach,Stage,Conductanc,Bottom,,,,
1,82,214,441,739.130000,16637.420000,736.130000,,,,
1,79,214,441,738.000000,15446.570000,735.000000,,,,
1,77,214,441,736.760000,23015.820000,733.760000,,,,
1,76,214,441,736.400000,27667.300000,733.400000,,,,
1,75,214,441,732.000000,29943.760000,729.000000,,,,
1,74,214,441,731.000000,29943.760000,728.000000,,,,
1,69,214,441,732.000000,21085.080000,729.000000,,,,
1,68,214,441,736.000000,22288.040000,733.000000,,,,
1,94,215,441,740.460000,18611.700000,737.460000,,,,
1,92,215,441,740.460000,19854.980000,737.460000,,,,
1,91,215,441,739.000000,26351.500000,736.000000,,,,
1,76,215,441,734.000000,22705.510000,731.000000,,,,
1,75,215,441,731.000000,29732.490000,728.000000,,,,
1,74,215,441,730.000000,29943.760000,727.000000,,,,
1,73,215,441,732.000000,27150.640000,729.000000,,,,
1,67,215,441,736.260000,28568.090000,733.260000,,,,
1,66,215,441,736.460000,21394.850000,733.460000,,,,
1,92,216,441,757.000000,18733.890000,754.000000,,,,
1,91,216,441,743.360000,19535.710000,740.360000,,,,
1,74,216,441,731.000000,27516.520000,728.000000,,,,
1,73,216,441,731.000000,29943.760000,728.000000,,,,
1,72,216,441,734.000000,20470.760000,731.000000,,,,
1,67,216,441,736.260000,20537.680000,733.260000,,,,
1,97,217,441,752.770000,17806.660000,749.770000,,,,
1,74,217,441,735.930000,15188.850000,732.930000,,,,
1,73,217,441,732.000000,29943.760000,729.000000,,,,
1,72,217,441,733.000000,29803.550000,730.000000,,,,
